input_url,initial_status,redirect_chain,final_url,final_status,canonical,canonical_ok,hreflang_values,hreflang_ok,robots_meta,noindex_ok,errors
"http://localhost:3000/fr/blog/aeogeo-visible-chatgpt","200","none","http://localhost:3000/fr/blog/aeogeo-visible-chatgpt","200","http://localhost:3000/fr/blog/aeogeo-visible-chatgpt","PASS","fr-CA:/fr/blog/aeogeo-visible-chatgpt | en-CA:/en/blog/aeogeo-visible-chatgpt","PASS","index, follow","PASS",""
"http://localhost:3000/en/blog/aeogeo-visible-chatgpt","200","none","http://localhost:3000/en/blog/aeogeo-visible-chatgpt","200","http://localhost:3000/en/blog/aeogeo-visible-chatgpt","PASS","en-CA:/en/blog/aeogeo-visible-chatgpt | fr-CA:/fr/blog/aeogeo-visible-chatgpt","PASS","index, follow","PASS",""
"http://localhost:3000/fr/content/guides/loi-25-analytics-consentement","200","none","http://localhost:3000/fr/content/guides/loi-25-analytics-consentement","200","http://localhost:3000/fr/content/guides/loi-25-analytics-consentement","PASS","fr-CA:/fr/content/guides/loi-25-analytics-consentement | en-CA:/en/content/guides/loi-25-analytics-consentement","PASS","index, follow","PASS",""
"http://localhost:3000/en/content/guides/loi-25-analytics-consentement","200","none","http://localhost:3000/en/content/guides/loi-25-analytics-consentement","200","http://localhost:3000/en/content/guides/loi-25-analytics-consentement","PASS","fr-CA:/fr/content/guides/loi-25-analytics-consentement | en-CA:/en/content/guides/loi-25-analytics-consentement","PASS","index, follow","PASS",""
"http://localhost:3000/fr/content/guides/seo-local-google-business-profile","200","none","http://localhost:3000/fr/content/guides/seo-local-google-business-profile","200","http://localhost:3000/fr/content/guides/seo-local-google-business-profile","PASS","fr-CA:/fr/content/guides/seo-local-google-business-profile | en-CA:/en/content/guides/seo-local-google-business-profile","PASS","index, follow","PASS",""
"http://localhost:3000/en/content/guides/seo-local-google-business-profile","200","none","http://localhost:3000/en/content/guides/seo-local-google-business-profile","200","http://localhost:3000/en/content/guides/seo-local-google-business-profile","PASS","fr-CA:/fr/content/guides/seo-local-google-business-profile | en-CA:/en/content/guides/seo-local-google-business-profile","PASS","index, follow","PASS",""
"http://localhost:3000/fr/content/pricing/quebec-ai-services-pricing","200","none","http://localhost:3000/fr/content/pricing/quebec-ai-services-pricing","200","http://localhost:3000/fr/content/pricing/quebec-ai-services-pricing","PASS","fr-CA:/fr/content/pricing/quebec-ai-services-pricing | en-CA:/en/content/pricing/quebec-ai-services-pricing","PASS","index, follow","PASS",""
"http://localhost:3000/en/content/pricing/quebec-ai-services-pricing","200","none","http://localhost:3000/en/content/pricing/quebec-ai-services-pricing","200","http://localhost:3000/en/content/pricing/quebec-ai-services-pricing","PASS","fr-CA:/fr/content/pricing/quebec-ai-services-pricing | en-CA:/en/content/pricing/quebec-ai-services-pricing","PASS","index, follow","PASS",""
"http://localhost:3000/fr/content/compliance/bill-64-data-residency-guide","200","none","http://localhost:3000/fr/content/compliance/bill-64-data-residency-guide","200","http://localhost:3000/fr/content/compliance/bill-64-data-residency-guide","PASS","fr-CA:/fr/content/compliance/bill-64-data-residency-guide | en-CA:/en/content/compliance/bill-64-data-residency-guide","PASS","index, follow","PASS",""
"http://localhost:3000/en/content/compliance/bill-64-data-residency-guide","200","none","http://localhost:3000/en/content/compliance/bill-64-data-residency-guide","200","http://localhost:3000/en/content/compliance/bill-64-data-residency-guide","PASS","fr-CA:/fr/content/compliance/bill-64-data-residency-guide | en-CA:/en/content/compliance/bill-64-data-residency-guide","PASS","index, follow","PASS",""
